"Source","ReferencingObject","ReferencedDatabase","ReferencedObject"
"DVO_STORE_DB","dbo.SOD_fn_GetAvailableQty","","dbo.Item"
"DVO_STORE_DB","dbo.SOD_fn_GetConvertQty","","dbo.Item"
"DVO_STORE_DB","dbo.SOD_fn_GetCreditLimit","DVO_MAA_WHSE_DB","dbo.AccountReceivable"
"DVO_STORE_DB","dbo.SOD_fn_GetCreditLimit","DVO_STORE_DB","dbo.AccountReceivable"
"DVO_STORE_DB","dbo.SOD_fn_GetCreditLimit","DVO_VINZON_WHSE_DB","dbo.AccountReceivable"
"DVO_STORE_DB","dbo.SOD_fn_GetDiscQty","","dbo.QuantityDiscount"
"DVO_STORE_DB","dbo.SOD_fn_GetQty","","dbo.Item"
"DVO_STORE_DB","dbo.SOD_fn_GetQty","","dbo.order"
"DVO_STORE_DB","dbo.SOD_fn_GetQty","","dbo.orderentry"
"DVO_STORE_DB","dbo.SOD_fn_GetQty","ILOILO_MAIN_WHSE_DB","dbo.item"
"DVO_STORE_DB","dbo.SOD_fn_GetQty","ILOILO_MAIN_WHSE_DB","dbo.QuantityDiscount"
"DVO_STORE_DB","dbo.SOD_fn_GetQty","SBD_CEBU_MAIN_DB","dbo.Item"
"DVO_STORE_DB","dbo.SOD_fn_GetQty","SBD_CEBU_WHSE_1_DB","dbo.item"
"DVO_STORE_DB","dbo.SOD_fn_GetQty","SBD_CEBU_WHSE_1_DB","dbo.QuantityDiscount"
"DVO_STORE_DB","dbo.SOD_fn_GetReg","","dbo.Register"
"DVO_STORE_DB","dbo.SOD_fn_GetReg","","dbo.SOD_Reg"
"DVO_STORE_DB","dbo.SOD_fn_GetStockInQty","","dbo.SOD_fntbl_sumStockin"
"DVO_STORE_DB","dbo.SOD_fn_GetTotalOpenWorkOrder","DVO_MAA_WHSE_DB","dbo.Order"
"DVO_STORE_DB","dbo.SOD_fn_GetTotalOpenWorkOrder","DVO_STORE_DB","dbo.Order"
"DVO_STORE_DB","dbo.SOD_fn_GetTotalOpenWorkOrder","DVO_VINZON_WHSE_DB","dbo.Order"
"DVO_STORE_DB","dbo.SOD_fntbl_CheckExQty","","dbo.configuration"
"DVO_STORE_DB","dbo.SOD_fntbl_CheckExQty","","dbo.STORE"
"DVO_STORE_DB","dbo.SOD_fntbl_CheckExQty","DVO_MAA_WHSE_DB","DBO.ITEM"
"DVO_STORE_DB","dbo.SOD_fntbl_CheckExQty","DVO_STORE_DB","DBO.ITEM"
"DVO_STORE_DB","dbo.SOD_fntbl_CheckOpenWO","","dbo.Cashier"
"DVO_STORE_DB","dbo.SOD_fntbl_CheckOpenWO","","dbo.Customer"
"DVO_STORE_DB","dbo.SOD_fntbl_CheckOpenWO","","dbo.Item"
"DVO_STORE_DB","dbo.SOD_fntbl_CheckOpenWO","","dbo.Order"
"DVO_STORE_DB","dbo.SOD_fntbl_CheckOpenWO","","dbo.OrderEntry"
"DVO_STORE_DB","dbo.SOD_fntbl_CheckOpenWO","","dbo.Queueing"
"DVO_STORE_DB","dbo.SOD_fntbl_CheckOpenWO","","dbo.ReasonCode"
"DVO_STORE_DB","dbo.SOD_fntbl_CheckQty","","dbo.configuration"
"DVO_STORE_DB","dbo.SOD_fntbl_CheckQty","","dbo.STORE"
