"Source","ReferencingObject","ReferencedDatabase","ReferencedObject"
"GSC_STORE_DB","dbo.SOD_fn_GetDiscQty","","dbo.QuantityDiscount"
"GSC_STORE_DB","dbo.SOD_fn_GetQty","","dbo.SOD_fn_GetStockInQty"
"GSC_STORE_DB","dbo.SOD_fn_GetQty","SOD_GSC_FIREWORKS_DB","dbo.item"
"GSC_STORE_DB","dbo.SOD_fn_GetQty","SOD_GSC_FIREWORKS_DB","dbo.QuantityDiscount"
"GSC_STORE_DB","dbo.SOD_fn_GetReg","","dbo.Register"
"GSC_STORE_DB","dbo.SOD_fn_GetReg","","dbo.SOD_Reg"
"GSC_STORE_DB","dbo.SOD_fn_GetStockInQty","","dbo.SOD_fntbl_sumStockin"
"GSC_STORE_DB","dbo.SOD_fntbl_CheckExQty","","dbo.configuration"
"GSC_STORE_DB","dbo.SOD_fntbl_CheckExQty","","dbo.STORE"
"GSC_STORE_DB","dbo.SOD_fntbl_CheckExQty","GSC_MAIN_WHSE_DB","DBO.ITEM"
"GSC_STORE_DB","dbo.SOD_fntbl_CheckExQty","GSC_OFFICE_SUPPLY_DB","DBO.ITEM"
"GSC_STORE_DB","dbo.SOD_fntbl_CheckExQty","GSC_STORE_DB","DBO.ITEM"
"GSC_STORE_DB","dbo.SOD_fntbl_CheckQty","","dbo.configuration"
"GSC_STORE_DB","dbo.SOD_fntbl_CheckQty","","dbo.STORE"
"GSC_STORE_DB","dbo.SOD_fntbl_CheckQty","GSC_MAIN_WHSE_DB","DBO.ITEM"
"GSC_STORE_DB","dbo.SOD_fntbl_CheckQty","GSC_OFFICE_SUPPLY_DB","DBO.ITEM"
"GSC_STORE_DB","dbo.SOD_fntbl_CheckQty","GSC_STORE_DB","DBO.ITEM"
"GSC_STORE_DB","dbo.SOD_fntbl_LastupdateOrder","","dbo.Order"
"GSC_STORE_DB","dbo.SOD_fntbl_NestedSearchItem","","dbo.NestedSearchItem"
"GSC_STORE_DB","dbo.SOD_fntbl_PriceLevel","","dbo.item"
"GSC_STORE_DB","dbo.SOD_fntbl_SearchItem","","dbo.item"
"GSC_STORE_DB","dbo.SOD_fntbl_SearchItem","","dbo.SOD_fn_GetDiscQty"
"GSC_STORE_DB","dbo.SOD_fntbl_sumStockin","","dbo.item"
"GSC_STORE_DB","dbo.SOD_fntbl_sumStockin","","dbo.order"
"GSC_STORE_DB","dbo.SOD_fntbl_sumStockin","","dbo.purchaseorder"
"GSC_STORE_DB","dbo.SOD_fntbl_sumStockin","","dbo.purchaseorderentry"
"GSC_STORE_DB","dbo.SOD_fntbl_sumStockin","","dbo.SOD_WO"
"GSC_STORE_DB","dbo.SOD_fntbl_WoDetails","","dbo.Configuration"
"GSC_STORE_DB","dbo.SOD_fntbl_WoDetails","","dbo.Customer"
"GSC_STORE_DB","dbo.SOD_fntbl_WoDetails","","dbo.order"
"GSC_STORE_DB","dbo.SOD_fntbl_WoEntry","","dbo.item"
"GSC_STORE_DB","dbo.SOD_fntbl_WoEntry","","dbo.order"
"GSC_STORE_DB","dbo.SOD_fntbl_WoEntry","","dbo.OrderEntry"
"GSC_STORE_DB","dbo.SOD_fntbl_WoEntry","","dbo.Transaction"
"GSC_STORE_DB","dbo.SOD_fntbl_WoEntry","","dbo.TransactionEntry"
"GSC_STORE_DB","dbo.SOD_sp_InsertQoute","","dbo.configuration"
"GSC_STORE_DB","dbo.SOD_sp_InsertQoute","","dbo.order"
"GSC_STORE_DB","dbo.SOD_sp_InsertQoute","","dbo.Queueing"
"GSC_STORE_DB","dbo.SOD_sp_InsertQoute","","dbo.SI_ORSeries"
"GSC_STORE_DB","dbo.SOD_sp_InsertQouteEntry","","dbo.configuration"
"GSC_STORE_DB","dbo.SOD_sp_InsertQouteEntry","","dbo.orderentry"
"GSC_STORE_DB","dbo.SOD_sp_InsertQouteEntry","","dbo.Queueing"
"GSC_STORE_DB","dbo.SOD_sp_InsertQouteEntry","","dbo.QueueingItems"
"GSC_STORE_DB","dbo.SOD_ViewForInvoice","","dbo.item"
"GSC_STORE_DB","dbo.SOD_ViewForInvoice","","dbo.order"
"GSC_STORE_DB","dbo.SOD_ViewForInvoice","","dbo.Queueing"
"GSC_STORE_DB","dbo.SOD_ViewForInvoice","","dbo.Queueingitems"
"GSC_STORE_DB","dbo.SOD_ViewItems","","dbo.ITEM"
"GSC_STORE_DB","dbo.SOD_viewLastUpdatedItem","","dbo.item"
"GSC_STORE_DB","dbo.SOD_viewLastUpdatedItem","","dbo.SOD_Item_Logs"
"GSC_STORE_DB","dbo.SOD_viewLastUpdatedOrder","","dbo.SOD_Item_Logs"
"GSC_STORE_DB","dbo.trg_InventoryTransferLog_ItemLogs","","dbo.Inserted"
"GSC_STORE_DB","dbo.trg_InventoryTransferLog_ItemLogs","","dbo.item"
"GSC_STORE_DB","dbo.trg_InventoryTransferLog_ItemLogs","","dbo.PurchaseOrder"
"GSC_STORE_DB","dbo.trg_InventoryTransferLog_ItemLogs","","dbo.SOD_Item_Logs"
"GSC_STORE_DB","dbo.trg_ItemLogs","","dbo.deleted"
"GSC_STORE_DB","dbo.trg_ItemLogs","","dbo.inserted"
"GSC_STORE_DB","dbo.trg_ItemLogs","","dbo.item"
"GSC_STORE_DB","dbo.trg_ItemLogs","","dbo.SOD_Item_Logs"
"GSC_STORE_DB","dbo.trg_OrderEntry_ItemLogs","","dbo.deleted"
"GSC_STORE_DB","dbo.trg_OrderEntry_ItemLogs","","dbo.inserted"
"GSC_STORE_DB","dbo.trg_OrderEntry_ItemLogs","","dbo.item"
"GSC_STORE_DB","dbo.trg_OrderEntry_ItemLogs","","dbo.Order"
"GSC_STORE_DB","dbo.trg_OrderEntry_ItemLogs","","dbo.SOD_Item_Logs"
"GSC_STORE_DB","dbo.trg_Transaction_closeQueue","","dbo.inserted"
"GSC_STORE_DB","dbo.trg_Transaction_closeQueue","","dbo.Queueing"
"GSC_STORE_DB","dbo.trg_TransactionEntry_ItemLogs","","dbo.inserted"
