"ObjectName","Category","Requirement","DVOType","GSCType","Comparison","Placement","DVOHash","GSCHash"
"Queueing","Tables","CoreRecall","U ","U ","Identical","Common","71EFD04BFAFE81887A01A8C06D670F82990626315BCFE6BD4921D3B3E684DB59","71EFD04BFAFE81887A01A8C06D670F82990626315BCFE6BD4921D3B3E684DB59"
"QueueingItems","Tables","QueueMode","U ","U ","Identical","Common","B41D1B16E085DFF2F023F8B13C776BFEC7EE26AB80EEF8A1F42A8D156BAD5502","B41D1B16E085DFF2F023F8B13C776BFEC7EE26AB80EEF8A1F42A8D156BAD5502"
"PickerList","Tables","QueueMode","U ","U ","Identical","Common","22CDCDF4C9C0B3062133BC4FBFB5B2A2C9F54D36A705DC170CFA87566A471B4F","22CDCDF4C9C0B3062133BC4FBFB5B2A2C9F54D36A705DC170CFA87566A471B4F"
"SOD_Item_Logs","Tables","QueueMode","U ","U ","Identical","Common","6B21ECD56B1EA2E9FA9CE8FFD9971C3507E670D192AF4719C7FC75FC5D31F121","6B21ECD56B1EA2E9FA9CE8FFD9971C3507E670D192AF4719C7FC75FC5D31F121"
"SOD_ImportedQuote","Tables","QuotationImport","Missing","Missing","NotExported","MissingBoth","",""
"SOD_Reg","Tables","CoreRegisterDependency","U ","U ","Identical","Common","96D2DECA97D44B2AC891BF47B4D6A2AFBCC27A9F6A31B3F6D585E6F7674CC824","96D2DECA97D44B2AC891BF47B4D6A2AFBCC27A9F6A31B3F6D585E6F7674CC824"
"SOD_WO","Tables","Core","U ","U ","Identical","Common","8518F16C90A43A4A01AC4FEA4E20D23130C1DC1B6F8060B8031F0B18AC855C59","8518F16C90A43A4A01AC4FEA4E20D23130C1DC1B6F8060B8031F0B18AC855C59"
"SOD_WO_Conf","Tables","Core","U ","U ","Different","BranchOverrides","2EA82CAAE7E0B8E78B9F13C4690466DB8EC67EC8A88B8440E21FD87049ABF918","6BC5AA28CCF342DB743D664015BEEF9D99055C6270B78BED89D3C872038BDFB3"
"SOD_WO_CustType","Tables","CustomerType","U ","U ","Identical","Common","291491494988287B92062CC143E00CDBE64A0B49A58AF4541089509CBFB38507","291491494988287B92062CC143E00CDBE64A0B49A58AF4541089509CBFB38507"
"SOD_WO_CustTypeUser","Tables","CustomerType","U ","U ","Identical","Common","50DA3A1BCAB90932DD55BEC0EE37A3B193C177BE40523340ECAB6EF806528221","50DA3A1BCAB90932DD55BEC0EE37A3B193C177BE40523340ECAB6EF806528221"
"SOD_WO_DraftHeader","Tables","OptionalDraft","U ","Missing","MissingInGSC","SourceOnly/DVO_STORE_DB","919CB19B2868795EDFBB458521BDC7AB07EC4C1D0A90E20BE8957CB47F1E32D6",""
"SOD_WO_DraftDetail","Tables","OptionalDraft","U ","Missing","MissingInGSC","SourceOnly/DVO_STORE_DB","D2E70533EC6E3C1527DDB191CFDF047EA9786C674C577F136C65B45B12A24B6B",""
